timestamp,cx,cy,area_pixels_512
20231130_0015,443.12654320987656,365.4382716049383,324
20231130_0045,399.3298969072165,369.7938144329897,291
20231130_0115,317.454802259887,354.3305084745763,354
20231130_0145,316.343085106383,354.47872340425533,376
20231130_0215,316.09638554216866,353.9879518072289,415
20231130_0245,316.8010075566751,353.9294710327456,397
20231130_0315,316.70588235294116,353.4015345268542,391
20231130_0345,319.06209850107064,352.4475374732334,467
20231130_0415,318.8406862745098,351.49754901960785,408
20231130_0445,320.5813953488372,350.9651162790698,430
20231130_0515,391.53846153846155,359.6173570019724,507
20231130_0545,389.6394230769231,357.4182692307692,416
20231130_0615,389.19600725952813,356.7295825771325,551
20231130_0645,387.1002044989775,354.16564417177915,489
20231130_0715,385.90625,352.7204861111111,576
20231130_0745,460.8787061994609,439.0700808625337,742
20231130_0815,460.4378048780488,440.42439024390245,820
20231130_0945,462.84712482468444,456.64095371669003,713
20231130_1015,459.5294556301268,445.84638329604775,1341
20231130_1045,459.12045616535994,445.6414825374198,1403
20231130_1115,461.2674418604651,461.57751937984494,774
20231130_1145,461.8198198198198,463.8498498498499,666
20231130_1215,456.68722466960355,419.01762114537445,454
20231130_1245,464.46960167714883,466.9643605870021,477
20231130_1315,463.3274021352313,467.6743772241993,562
20231130_1345,456.1423149905123,418.0132827324478,527
20231130_1415,464.3420523138833,467.8470824949698,497
20231130_1445,464.87567567567567,468.27387387387387,555
20231130_1515,462.5091911764706,417.4375,544
20231130_1545,461.3027950310559,415.89596273291926,644
20231130_1615,351.85305343511453,335.2003816793893,1048
20231130_1645,464.6620046620047,417.6048951048951,858
20231130_1715,349.7249488752556,335.02965235173826,978
20231130_1745,469.3352380952381,417.9952380952381,1050
20231130_1815,337.09906213364593,337.1354044548652,1706
20231130_1845,342.3735135135135,337.65135135135137,1850
20231130_1915,342.2856412876852,338.0378129790496,1957
20231130_1945,343.00592255125287,338.09248291571754,2195
20231130_2015,343.11556503198295,337.82132196162047,2345
20231130_2045,345.0639717425432,337.7021193092622,2548
20231130_2115,343.4755517092168,338.7922977066205,2311
20231130_2145,332.4339622641509,341.688679245283,2014
20231130_2215,339.2104353835522,343.124395300622,2894
20231130_2245,333.685247921158,349.8894364028334,3247
20231130_2315,334.4782196969697,351.05808080808083,3168
20231130_2345,334.9290012033694,350.59687123947054,3324
20231201_0015,340.8772808586762,346.1592128801431,2795
20231201_0045,328.5317505720824,354.9187643020595,3496
20231201_0115,329.52177531206655,354.58613037447986,3605
20231201_0145,326.44221364221363,356.51866151866153,3885
20231201_0215,325.45661214305517,357.41530357637924,3607
20231201_0245,329.830751900873,355.3480709659251,3551
20231201_0315,319.3393103448276,374.2537931034483,2175
20231201_0345,320.77735849056603,374.27688679245284,2120
20231201_0415,480.7389451251998,391.64784230154504,1877
20231201_0445,478.4495798319328,391.75367647058823,1904
20231201_0515,322.4676862358165,374.09570794277255,2027
20231201_0545,478.1393665158371,391.68190045248866,2210
20231201_0615,474.92498805542283,388.6989966555184,2093
20231201_0645,473.4332386363636,387.8167613636364,2112
20231201_0715,471.4987518721917,385.9360958562157,2003
20231201_0745,470.5948693126815,385.85866408518876,2066
20231201_0815,473.05647155812034,389.5791426215993,2426
20231201_0845,471.3660869565217,388.7995652173913,2300
20231201_0915,464.69457831325303,380.1319277108434,1660
20231201_0945,462.03469640644363,377.97149938042133,1614
20231201_1015,312.80747663551404,341.4018691588785,1070
20231201_1115,457.21008403361344,378.96158463385353,833
20231201_1145,456.50359712230215,379.2601918465228,834
20231201_1215,454.84255319148934,378.7560283687943,705
20231201_1245,453.18454935622316,379.57510729613733,699
20231201_1315,325.6526019690577,338.65682137834034,711
20231201_1345,325.5904,337.1296,625
20231201_1415,289.8995433789954,338.2572298325723,657
20231201_1445,288.6623376623377,338.174025974026,770
20231201_1515,326.78125,337.7853260869565,736
20231201_1545,287.61055634807417,336.63480741797434,701
20231201_1615,288.2795275590551,337.00656167979,762
20231201_1645,287.5597633136095,335.93491124260356,845
20231201_1715,334.6221985058698,343.30202774813233,937
20231201_1745,334.7753058954394,340.4104560622914,899
20231201_1815,299.4488188976378,382.1466535433071,1016
20231201_1845,316.1045346062053,361.05775656324585,2095
20231201_1915,323.4640614096301,367.9916259595255,2866
20231201_1945,317.5923172242875,360.9529120198265,2421
20231201_2015,319.7193270414444,357.91423881821913,2437
20231201_2045,319.9061426936284,358.838229683327,2621
20231201_2115,321.05366795366797,357.0733590733591,2590
20231201_2145,322.88623395149784,355.64051355206846,2804
20231201_2215,322.0444579780755,371.59135200974424,1642
20231201_2245,322.30630136986304,370.5638356164384,1825
20231201_2315,321.2772083943387,370.0561249389946,2049
20231201_2345,322.4594594594595,367.40113798008537,2109
